H,G,Num_obs,rms,U,Arc_years,Perturbers,Perturbers_2,Number,Name,Principal_desig,Epoch,M,Peri,Node,i,e,n,a,Ref,Num_opps,Computer,Hex_flags,Last_obs,Tp,Orbital_period,Perihelion_dist,Aphelion_dist,Semilatus_rectum,Synodic_period,Orbit_type,Other_desigs,One_opposition_object_flag,Arc_length,NEO_flag,One_km_NEO_flag,PHA_flag
7.44,0.15,133.0,0.75,1,1987-2022,M-v,3Ek,(55576),Amycus,2002 GB10,2460800.5,64.54879,238.74579,315.51006,13.36281,0.3919737,0.00791116,24.944567,MPO711058,16,MPCLINUX,000A,2022-08-18,2452641.23138,124.584483,15.1669528,34.7221812,10.5559997,1.0080916,Distant Object,,,,,,
3.5,0.15,1000.0,0.68,1,1954-2025,M-v,3Ek,(55636),,2002 TX300,2460800.5,81.34809,343.24223,324.63798,25.85428,0.1217358,0.00343175,43.5303519,MPO888017,29,MPCLINUX,000A,2025-01-12,2437095.60447,287.2025338,38.2311497,48.8295541,21.4426246,1.003494,Distant Object,,,,,,
3.83,0.15,717.0,0.79,2,1991-2025,M-v,3Ek,(55637),,2002 UX25,2460800.5,309.4962,275.26816,204.57503,19.40084,0.1462074,0.00349486,43.0047672,MPO901795,26,MPCLINUX,000A,2025-02-17,2475251.62739,282.0167488,36.717152,49.2923824,21.0427357,1.0035585,Distant Object,,,,,,
5.59,0.15,386.0,0.61,1,1990-2024,M-v,3Ek,(55638),,2002 VE95,2460800.5,33.58517,207.89493,199.71591,16.3245,0.2929142,0.00395022,39.6328397,MPO914731,23,MPCLINUX,000A,2024-02-11,2452298.3558,249.5070297,28.0238182,51.2418612,18.1161962,1.004024,Distant Object,,,,,,
6.87,0.15,116.0,0.8,3,1997-2024,M-v,3Ek,(58534),Logos,1997 CQ29,2460800.5,71.06969,335.34217,132.5369,2.89738,0.1223477,0.00324758,45.1609121,E2024-H69,19,MPCLINUX,000A,2024-04-14,2438916.0689,303.4897703,39.6355784,50.6862458,22.2424501,1.0033059,Distant Object,,,,,,
6.91,0.15,168.0,0.45,2,1999-2024,M-v,3Ek,(59358),,1999 CL158,2460800.5,57.95802,328.26198,120.01122,10.01912,0.2105281,0.00368411,41.5190483,E2024-H69,19,MPCLINUX,000A,2024-04-14,2445068.56547,267.5291348,32.7781219,50.2599747,19.8394188,1.0037519,Distant Object,,,,,,
6.74,0.15,113.0,1.0,3,2000-2022,M-v,3Ek,(60454),,2000 CH105,2460800.5,309.58743,292.10809,319.96725,1.16217,0.0830378,0.00335309,44.2085156,MPO901848,16,MPCLINUX,000A,2022-03-02,2475835.56412,293.9401416,40.5375377,47.8794935,21.9518428,1.0034137,Distant Object,,,,,,
7.38,0.15,96.0,0.38,5,2000-2020,M-v,3Ek,(60458),,2000 CM114,2460800.5,347.44921,251.21954,312.2822,19.68612,0.4029471,0.00215032,59.4475453,MPO914780,14,MPCORBFIT,000A,2020-02-18,2466637.26231,458.3538565,35.4933293,83.4017613,24.8976317,1.0021865,Distant Object,,,,,,
9.2,0.15,4258.0,0.79,0,1979-2025,M-v,3Ek,(60558),Echeclus,2000 EC98,2460800.5,102.4322,163.52612,173.24471,4.34118,0.4549144,0.02792881,10.7588967,MPO914781,26,MPCLINUX,000A,2025-02-25,2457132.88091,35.2899958,5.8645197,15.6532737,4.2661871,1.029163,Distant Object,['2002 GJ27'],,,,,
8.47,0.15,175.0,0.76,2,2000-2020,M-v,3Ek,(60608),,2000 EE173,2460800.5,19.12173,235.18615,293.9658,5.95838,0.5394715,0.00287962,48.9304114,MPO692633,15,Pan,000A,2020-06-23,2454160.08814,342.2695792,22.533849,75.3269738,17.3451091,1.0029302,Distant Object,,,,,,
6.63,0.15,225.0,1.02,3,2000-2025,M-v,3Ek,(60620),,2000 FD8,2460800.5,333.7142,81.6306,184.86332,19.52788,0.2172942,0.00343266,43.5226457,MPO914781,20,MPCORBFIT,000A,2025-05-02,2468458.19388,287.1262717,34.0654272,52.9798642,20.7338235,1.003495,Distant Object,,,,,,
